Transaction_ID,Customer_ID,Date_of_Birth,Gender,Email,Phone_Number,Address,Signup_Date,Purchase_DateTime,Product_ID,Product_Category,Product_Price,Quantity,Discount_Code,Payment_Method,Device_Used,Delivery_Time_days,Customer_Satisfaction,Review_Text
T100019,C1095,1978-06-27,Female,carla.gray@outlook.com,+92-313-5786824,"Lahore, Punjab",2022-05-20,2025-03-26 23:46:46,P148,Sports,5168.46,4,DISCOUNT5,Cash,Tablet,3,8,Threat project half door early we we alone ready.
T100020,C1223,1974-03-25,Male,margaret.hawkins.dds@hotmail.com,+92-330-5700293,"Lahore, Punjab",2024-08-13,2024-12-27 04:44:22,P905,Home Decor,46434.24,5,DISCOUNT5,Easypaisa,Tablet,9,7,Bad strong summer more if hear.
T100021,C1238,1966-02-12,Female,patty.perez@gmail.com,+92-338-2690500,"Karachi, Sindh",2021-01-19,2025-02-06 01:35:30,P594,Electronics,32422.63,3,,Debit Card,Mobile,7,1,Have level road trouble.
T100022,C1517,1962-12-01,Female,ethan.adams@outlook.com,+92-327-4101100,"Islamabad, Capital Territory",2022-08-09,2025-09-30 20:20:08,P382,Sports,27093.02,1,FREESHIP,Bank Transfer,Mobile,8,8,Push material somebody husband Republican result wrong return wall trouble.
T100023,C1616,1974-06-09,Male,tommy.walter@yahoo.com,+92-316-9242417,"Hyderabad, Sindh",2024-02-18,2025-05-25 12:21:06,P531,Beauty,32250.06,5,SALE20,Bank Transfer,Tablet,9,5,Water guess dream have.
T100024,C1027,1973-06-26,Female,matthew.foster@hotmail.com,+92-323-6608323,"Peshawar, Khyber Pakhtunkhwa",2025-09-03,2025-05-30 09:06:53,P901,Books,42397.26,1,DISCOUNT5,Easypaisa,Tablet,6,2,Yard establish hit rock since him southern issue town call computer experience.
T100025,C1574,1987-12-19,Female,judy.baker@outlook.com,+92-319-2871139,"Quetta, Balochistan",2022-04-25,2025-06-11 10:15:29,P869,Clothing,39250.07,3,,JazzCash,Mobile,6,5,Movement traditional of understand view true fill.
T100026,C1203,1984-09-19,Female,justin.baker@gmail.com,+92-306-1229203,"Lahore, Punjab",2023-03-05,2025-10-05 09:51:53,P884,Books,5094.91,1,NEW10,Debit Card,Desktop,5,7,Spring continue human central skill he high.
T100027,C1733,1970-01-25,Female,stephanie.ross@gmail.com,+92-343-3186206,"Islamabad, Capital Territory",2025-08-22,2025-08-31 15:58:03,P976,Home Decor,38397.4,5,FREESHIP,JazzCash,Desktop,8,5,Such consider table dream law.
T100028,C1665,1966-05-16,Female,zachary.hicks@outlook.com,+92-321-7049339,"Karachi, Sindh",2022-03-05,2025-03-22 01:41:00,P663,Toys,40810.87,5,FREESHIP,Cash,Desktop,1,5,
T100029,C1718,1974-06-25,Female,anthony.rodriguez@hotmail.com,+92-347-7063033,"Karachi, Sindh",2024-04-07,2025-04-11 23:51:24,P756,Books,1522.33,5,,Credit Card,Tablet,2,1,Carry happy response would enter his value experience young west practice.
T100030,C1558,1972-07-03,Male,rebecca.henderson@outlook.com,+92-347-9872833,"Quetta, Balochistan",2025-09-27,2025-01-09 00:26:55,P241,Beauty,41410.49,3,,Bank Transfer,Desktop,9,3,Crime society church indeed break since though degree special laugh include price leader bit traditional tough.
T100031,C1429,1996-02-06,Female,james.ferrell@gmail.com,+92-338-7234284,"Islamabad, Capital Territory",2022-07-13,2025-10-18 12:16:06,P299,Toys,550.73,4,FREESHIP,Easypaisa,Tablet,10,7,Move rather business vote state turn.
T100032,C1225,2006-02-14,Female,tricia.valencia@gmail.com,+92-315-5629621,"Karachi, Sindh",2022-02-17,2024-12-29 22:40:22,P422,Electronics,20209.14,4,DISCOUNT5,Credit Card,Mobile,8,2,Use bag role land trouble news.
T100033,C1459,1962-01-26,Female,nathan.maldonado@yahoo.com,+92-313-7443279,"Islamabad, Capital Territory",2024-05-06,2025-11-04 23:35:37,P416,Toys,35820.38,3,,JazzCash,Tablet,8,4,Choose guy wide evidence to item town something employee such practice.
T100034,C1603,1970-08-13,Male,debra.davidson@yahoo.com,+92-305-2784517,"Faisalabad, Punjab",2023-07-17,2025-03-15 07:17:20,P518,Electronics,42520.52,2,,Easypaisa,Mobile,10,6,Any market poor clear possible staff agent more someone themselves star development know laugh.
T100035,C1284,2000-03-14,Female,jeffrey.chavez@gmail.com,+92-308-3019210,"Multan, Punjab",2024-10-31,2025-06-11 06:32:47,P987,Clothing,29880.33,1,,Easypaisa,Tablet,6,4,Involve radio image crime about everything artist still understand picture ground check keep Mr agency.
T100036,C1828,1973-10-23,Male,sherri.baker@yahoo.com,+92-302-4194945,"Multan, Punjab",2022-12-09,2025-09-17 00:28:45,P702,Toys,43679.2,1,DISCOUNT5,Cash,Tablet,1,5,
T100037,C1890,1964-06-11,Female,cassandra.gaines@yahoo.com,+92-312-8478776,"Sialkot, Punjab",2021-12-16,2025-10-27 07:55:07,P423,Groceries,2544.35,4,,Cash,Desktop,2,3,For mind worker already TV low radio role assume control leg.
T100038,C1006,1961-05-19,Male,elizabeth.fowler@outlook.com,+92-306-2256271,"Lahore, Punjab",2024-12-27,2025-09-17 03:13:06,P952,Beauty,29389.59,3,SALE20,Easypaisa,Mobile,5,6,Build ago feeling whose realize but truth several.
T100039,C1777,1968-12-04,Female,brittany.farmer@hotmail.com,+92-334-6752873,"Karachi, Sindh",2023-07-16,2025-09-04 02:40:18,P792,Electronics,11128.41,3,,Easypaisa,Tablet,7,6,South really manager clearly along business her generation remember million hospital trade.
T100040,C1825,1992-06-04,Female,paula.moreno@outlook.com,+92-319-8955730,"Islamabad, Capital Territory",2025-05-12,2025-04-22 01:48:15,P909,Electronics,39010.92,4,SALE20,Credit Card,Desktop,8,6,Over cost risk task six gas.
T100041,C1163,1989-06-19,Female,fred.smith@outlook.com,+92-348-4388982,"Faisalabad, Punjab",2021-02-23,2025-04-17 09:18:58,P200,Clothing,29556.09,2,NEW10,Bank Transfer,Tablet,1,7,Whom good throw process degree doctor college policy side kind record.
T100042,C1714,2006-03-21,Female,sherry.decker@yahoo.com,+92-334-3578194,"Multan, Punjab",2021-09-03,2024-11-29 11:10:49,P135,Home Decor,7370.13,2,DISCOUNT5,JazzCash,Mobile,10,2,Throw owner company expert table reality stock site develop government.
T100043,C1432,1966-05-04,Male,anthony.humphrey@yahoo.com,+92-302-3144664,"Lahore, Punjab",2021-05-28,2025-03-12 19:16:54,P103,Beauty,27753.31,5,SALE20,Easypaisa,Mobile,4,9,
T100044,C1348,1956-09-16,Male,angelica.tucker@hotmail.com,+92-312-8016442,"Karachi, Sindh",2021-07-30,2025-10-08 08:31:30,P303,Sports,44694.59,5,SALE20,Easypaisa,Desktop,7,4,Dinner interview medical.
T100045,C1284,1995-07-28,Female,philip.cannon@hotmail.com,+92-335-5236674,"Sialkot, Punjab",2021-01-11,2025-09-02 23:19:43,P850,Clothing,11350.4,4,SALE20,Cash,Desktop,8,3,Light before.
T100046,C1159,1957-07-21,Female,john.pierce@hotmail.com,+92-348-6827390,"Lahore, Punjab",2020-12-02,2025-06-21 10:22:49,P891,Electronics,45283.4,5,,Credit Card,Desktop,3,7,Necessary learn memory home marriage where share.
T100047,C1220,1991-08-02,Male,shane.henderson@outlook.com,+92-323-8524283,"Karachi, Sindh",2021-04-18,2025-05-22 11:29:53,P117,Home Decor,25666.77,5,,Debit Card,Tablet,6,3,
T100048,C1980,1991-06-15,Male,joshua.blair@hotmail.com,+92-340-2970130,"Sialkot, Punjab",2023-09-01,2025-04-17 03:59:57,P568,Books,46498.91,5,,JazzCash,Mobile,1,2,Stop customer although add by how government suddenly.
T100049,C1781,1968-02-17,Male,eric.carney@gmail.com,+92-327-2135960,"Karachi, Sindh",2021-08-12,2025-09-10 11:52:14,P955,Books,21945.61,4,,JazzCash,Mobile,3,4,Develop while question place consumer bed teacher program success itself religious.
T100050,C1344,1955-04-21,Male,jessica.holmes@gmail.com,+92-330-8029723,"Rawalpindi, Punjab",2023-07-07,2025-08-26 17:37:58,P869,Books,15328.65,4,,Credit Card,Tablet,9,9,
T100051,C1104,1988-01-31,Male,danny.morgan@outlook.com,+92-333-9453526,"Islamabad, Capital Territory",2023-11-19,2025-04-30 11:23:27,P513,Books,45125.58,3,,Debit Card,Mobile,1,5,Move election I customer kind enjoy.
T100052,C1094,1956-08-08,Male,crystal.robinson@yahoo.com,+92-301-3800706,"Peshawar, Khyber Pakhtunkhwa",2022-07-29,2025-06-04 02:11:29,P286,Groceries,46081.75,4,,Easypaisa,Desktop,1,2,Decide wide describe real check.
T100053,C1389,1979-12-30,Male,mark.perez@hotmail.com,+92-338-5599450,"Quetta, Balochistan",2022-02-16,2025-04-27 12:45:25,P103,Electronics,12282.0,5,NEW10,JazzCash,Mobile,5,6,Try meet play senior.
T100054,C1099,1968-09-03,Male,shannon.jones@gmail.com,+92-344-3163157,"Lahore, Punjab",2022-08-29,2025-02-23 08:37:27,P478,Beauty,15945.9,5,NEW10,JazzCash,Tablet,2,6,Effect child nice prove.
T100055,C1367,1974-01-11,Male,michael.lewis@hotmail.com,+92-318-1762444,"Faisalabad, Punjab",2023-06-19,2025-03-02 18:45:42,P936,Toys,21152.01,2,SALE20,Bank Transfer,Tablet,8,2,
T100056,C1867,1993-09-19,Female,timothy.duncan@gmail.com,+92-336-2019943,"Sialkot, Punjab",2021-05-30,2025-10-07 19:05:13,P935,Books,16529.6,1,DISCOUNT5,Bank Transfer,Desktop,8,1,Child staff yard place contain safe government arm consumer thousand year front he any.
T100057,C1352,1983-11-15,Female,richard.aguirre@gmail.com,+92-344-4190874,"Faisalabad, Punjab",2023-12-08,2025-01-10 21:11:28,P385,Sports,25649.42,2,,Easypaisa,Desktop,1,10,Drug today so long sometimes at positive mother even raise man bit door.
T100058,C1618,2004-09-01,Female,brent.jordan@hotmail.com,+92-347-7668839,"Sialkot, Punjab",2023-07-14,2024-12-30 11:26:08,P437,Beauty,20805.53,4,,Easypaisa,Mobile,8,6,Protect director next figure business no chance thousand author.
T100059,C1270,1985-02-13,Male,john.daniel@gmail.com,+92-331-9933361,"Hyderabad, Sindh",2024-08-24,2025-05-17 03:32:52,P860,Beauty,26024.51,1,NEW10,Bank Transfer,Desktop,4,5,
T100060,C1826,1990-04-18,Male,victoria.garcia@hotmail.com,+92-332-2258048,"Lahore, Punjab",2024-11-21,2025-08-08 00:29:05,P702,Sports,36534.36,4,FREESHIP,Cash,Mobile,5,3,
T100061,C1044,1963-06-09,Male,gerald.hensley@gmail.com,+92-310-8344141,"Sialkot, Punjab",2023-09-24,2025-03-18 00:30:30,P488,Groceries,11419.27,2,FREESHIP,Cash,Tablet,7,6,Company produce meet expert human number result prevent.
T100062,C1747,1985-09-25,Male,connor.west@yahoo.com,+92-348-9544273,"Faisalabad, Punjab",2022-05-04,2025-05-23 22:37:37,P548,Books,48725.84,2,DISCOUNT5,Easypaisa,Desktop,1,3,As room so and five notice son view process happy.
T100063,C1470,1974-12-02,Female,donald.wright@outlook.com,+92-324-7547256,"Islamabad, Capital Territory",2023-04-25,2025-03-17 18:52:03,P954,Electronics,17048.3,5,,Debit Card,Desktop,4,8,Within environment back short pull.
T100064,C1549,1962-04-23,Female,jessica.callahan@outlook.com,+92-325-5554916,"Lahore, Punjab",2023-06-06,2025-08-21 11:54:52,P176,Beauty,34587.75,1,DISCOUNT5,Easypaisa,Desktop,2,6,Into admit value before result or deep fly natural group continue.
T100065,C1127,2003-08-04,Female,amber.kidd@hotmail.com,+92-313-4088120,"Quetta, Balochistan",2021-09-17,2025-10-19 16:05:50,P439,Groceries,860.83,1,FREESHIP,Credit Card,Mobile,7,1,
T100066,C1996,2002-11-30,Male,tracy.house@outlook.com,+92-300-3684405,"Sialkot, Punjab",2025-08-17,2025-07-24 17:36:22,P120,Groceries,24444.55,1,,Easypaisa,Mobile,2,6,Sound specific adult collection.
T100067,C1944,1963-01-05,Female,carol.tucker@outlook.com,+92-336-4654207,"Faisalabad, Punjab",2022-03-17,2025-02-23 09:19:46,P805,Clothing,11959.06,2,,Bank Transfer,Mobile,4,7,Project author term many.
T100068,C1387,1985-02-02,Female,james.brown@outlook.com,+92-337-1148668,"Islamabad, Capital Territory",2022-02-21,2025-06-05 00:52:59,P147,Sports,5257.75,5,FREESHIP,Easypaisa,Tablet,5,9,Rock bed film wait number.
T100069,C1080,1984-04-07,Female,william.baker@outlook.com,+92-332-8641031,"Hyderabad, Sindh",2022-03-28,2025-07-10 07:24:51,P546,Sports,8706.26,4,SALE20,Bank Transfer,Desktop,1,9,Town per leg note law already western listen avoid international.
T100070,C1565,1988-05-31,Male,jordan.henderson@yahoo.com,+92-332-9809266,"Lahore, Punjab",2024-05-18,2025-03-18 15:50:50,P543,Beauty,40308.53,1,,Debit Card,Tablet,8,1,Discuss something world continue just hope share leave fund officer most perform.
T100071,C1300,1972-10-01,Male,whitney.peters@yahoo.com,+92-316-6090377,"Quetta, Balochistan",2021-11-08,2025-08-18 10:08:59,P784,Toys,44960.14,3,FREESHIP,Cash,Mobile,10,9,Inside down PM debate piece occur trouble realize data owner picture him final air.
T100072,C1849,1960-10-05,Male,brittney.phillips@outlook.com,+92-314-5972157,"Sialkot, Punjab",2025-05-17,2025-06-23 06:41:30,P499,Groceries,11057.42,4,DISCOUNT5,Credit Card,Desktop,10,5,Public size PM consider by animal.
T100073,C1643,1964-02-28,Male,lauren.daniels@yahoo.com,+92-345-5504928,"Rawalpindi, Punjab",2024-05-01,2025-04-19 16:08:09,P532,Sports,16280.65,5,DISCOUNT5,Cash,Mobile,3,9,Only goal age.
T100074,C1633,1973-10-18,Male,amy.silva@yahoo.com,+92-335-2998223,"Faisalabad, Punjab",2022-03-12,2025-03-28 01:09:40,P375,Beauty,17145.13,3,NEW10,Debit Card,Desktop,2,3,Main her year none lay.
T100075,C1906,2004-08-20,Female,sarah.moore@outlook.com,+92-310-4756912,"Karachi, Sindh",2025-08-17,2025-09-12 04:00:48,P194,Groceries,2326.86,4,,Easypaisa,Tablet,7,1,Lose represent ability inside night how finally program itself husband occur.
T100076,C1882,2000-05-10,Male,angela.lopez@hotmail.com,+92-302-9951748,"Peshawar, Khyber Pakhtunkhwa",2025-07-19,2025-10-09 10:14:35,P175,Groceries,42239.05,1,,Credit Card,Tablet,5,8,Late finally wait information cut three interview wrong either.
T100077,C1370,1962-10-10,Male,megan.young@outlook.com,+92-315-5896318,"Multan, Punjab",2024-11-03,2025-03-10 00:50:42,P113,Groceries,16050.93,5,DISCOUNT5,Credit Card,Desktop,6,3,Almost image good recognize.
T100078,C1591,1978-12-02,Female,steve.sanchez@yahoo.com,+92-302-3485367,"Islamabad, Capital Territory",2023-03-29,2025-09-08 16:10:37,P762,Clothing,33870.73,5,,Cash,Mobile,8,8,
T100079,C1196,1960-03-25,Female,lisa.barnes@hotmail.com,+92-317-3230889,"Quetta, Balochistan",2022-12-20,2025-08-10 13:45:49,P502,Electronics,1830.18,1,,Bank Transfer,Mobile,6,2,Current open history evening.
T100080,C1721,2005-07-01,Male,kelly.donovan@yahoo.com,+92-317-1864361,"Quetta, Balochistan",2021-10-24,2025-09-29 15:12:02,P479,Sports,6523.52,2,,Credit Card,Tablet,3,3,Pattern while kid body play practice case receive development.
T100081,C1071,1969-12-26,Female,mike.allen@yahoo.com,+92-341-5177662,"Multan, Punjab",2022-02-04,2025-07-03 02:45:10,P406,Home Decor,4861.98,5,NEW10,Debit Card,Desktop,8,7,Anyone he letter account happy body.
T100082,C1046,2004-05-06,Male,michael.evans@gmail.com,+92-313-9969014,"Hyderabad, Sindh",2024-08-19,2025-02-26 15:47:57,P988,Home Decor,24026.37,1,,Credit Card,Desktop,6,4,
T100083,C1677,1959-11-28,Male,paul.jones@gmail.com,+92-307-1023487,"Faisalabad, Punjab",2021-09-03,2025-01-14 20:07:28,P188,Books,30254.5,2,DISCOUNT5,Debit Card,Tablet,5,4,Claim including deal feel would table pass trouble per nice now friend hour two including.
T100084,C1233,1977-02-09,Female,zachary.ferrell@gmail.com,+92-341-6829443,"Faisalabad, Punjab",2021-03-08,2025-05-20 18:24:36,P825,Toys,43883.27,3,,Credit Card,Tablet,3,5,
T100085,C1791,1965-07-07,Male,daniel.baker@yahoo.com,+92-340-7192640,"Peshawar, Khyber Pakhtunkhwa",2022-01-01,2024-12-26 20:32:46,P192,Electronics,11287.66,1,FREESHIP,Credit Card,Desktop,9,1,
T100086,C1296,1989-05-10,Female,shirley.suarez@outlook.com,+92-320-2396638,"Peshawar, Khyber Pakhtunkhwa",2024-02-02,2025-03-05 01:40:30,P820,Books,13837.65,3,DISCOUNT5,Debit Card,Tablet,4,3,Easy win send themselves walk factor determine remember size.
T100087,C1081,1977-09-01,Female,christopher.bass@outlook.com,+92-345-5429825,"Rawalpindi, Punjab",2024-11-13,2025-07-03 09:36:02,P960,Toys,41143.97,5,SALE20,Credit Card,Desktop,3,10,Partner how up operation send drug relationship tax every late.
T100088,C1875,1973-08-21,Female,lisa.archer@yahoo.com,+92-346-3241630,"Faisalabad, Punjab",2024-01-28,2025-10-26 09:29:31,P330,Books,13317.69,5,,Debit Card,Mobile,9,4,Offer especially improve admit.
T100089,C1238,1985-09-15,Female,aimee.montoya@gmail.com,+92-326-5947522,"Multan, Punjab",2024-11-26,2024-12-22 21:06:40,P388,Toys,15696.75,3,,Bank Transfer,Tablet,7,8,Commercial different order matter campaign reveal.
T100090,C1887,1997-10-06,Male,matthew.mcmillan@yahoo.com,+92-320-1960720,"Rawalpindi, Punjab",2022-04-19,2024-12-09 00:33:01,P101,Beauty,49096.41,2,FREESHIP,Easypaisa,Desktop,8,9,Write protect mouth side mission.
T100091,C1103,2004-11-25,Female,brian.rodriguez@outlook.com,+92-340-1174620,"Rawalpindi, Punjab",2021-01-06,2025-09-18 07:25:26,P927,Books,26962.27,5,,Cash,Desktop,9,2,Between citizen whose young set knowledge article community team seven look.
T100092,C1389,1989-09-30,Female,denise.jacobs@outlook.com,+92-322-4678901,"Quetta, Balochistan",2023-12-06,2025-08-03 00:02:55,P557,Books,5412.6,2,FREESHIP,Cash,Desktop,6,4,Tonight million cover.
T100093,C1284,2000-08-01,Male,christina.walters@outlook.com,+92-346-5692416,"Islamabad, Capital Territory",2024-08-06,2025-04-22 01:23:22,P654,Sports,4002.23,5,SALE20,JazzCash,Mobile,2,3,Report include from song car sing also act few note summer high ask rich.
T100094,C1464,2007-09-23,Male,john.whitehead@yahoo.com,+92-311-5294752,"Islamabad, Capital Territory",2025-09-17,2025-03-15 20:21:08,P431,Sports,3381.79,3,FREESHIP,Debit Card,Desktop,6,7,Note statement center.
T100095,C1650,1959-11-22,Female,anna.henderson@outlook.com,+92-301-2785812,"Karachi, Sindh",2022-05-24,2024-11-16 15:50:45,P202,Home Decor,44410.64,3,DISCOUNT5,Bank Transfer,Tablet,1,8,Blood single daughter tell four hour green religious hot former front quality.
T100096,C1854,2002-12-12,Male,aaron.wise@outlook.com,+92-346-7408577,"Lahore, Punjab",2024-08-26,2024-12-29 15:55:12,P508,Beauty,47558.5,1,SALE20,JazzCash,Tablet,7,3,
T100097,C1373,2001-08-30,Female,deborah.figueroa@outlook.com,+92-341-5317535,"Karachi, Sindh",2021-01-06,2025-11-03 23:21:54,P728,Sports,32639.76,5,DISCOUNT5,JazzCash,Tablet,7,8,White new involve south two participant want end guess.
T100098,C1166,1976-04-09,Female,jessica.smith@outlook.com,+92-340-4458774,"Sialkot, Punjab",2025-01-11,2025-10-03 07:09:28,P937,Groceries,35137.72,1,,Debit Card,Tablet,9,4,Country receive however determine.
T100099,C1379,1957-06-17,Male,stephen.mckee@hotmail.com,+92-328-4701708,"Lahore, Punjab",2025-09-01,2024-11-09 05:27:54,P705,Clothing,37676.63,3,DISCOUNT5,JazzCash,Desktop,9,4,Development my he those father contain.
T100100,C1363,1984-05-04,Male,sandra.aguilar@yahoo.com,+92-320-5509606,"Islamabad, Capital Territory",2023-10-10,2025-10-15 12:32:36,P375,Home Decor,46823.21,4,,Easypaisa,Desktop,2,3,Citizen provide career teach crime leader consumer image pretty affect discussion.
T100101,C1214,1961-09-07,Female,cameron.parker@yahoo.com,+92-313-7634775,"Lahore, Punjab",2023-09-27,2024-11-22 02:23:44,P890,Home Decor,48893.29,5,FREESHIP,Cash,Desktop,6,7,
T100102,C1686,2002-10-31,Female,rebecca.valencia@outlook.com,+92-309-8483576,"Quetta, Balochistan",2021-07-28,2024-11-23 10:45:50,P733,Sports,39705.28,1,DISCOUNT5,Easypaisa,Tablet,6,3,Research indeed scientist push price sit music agreement need top wear finish.
T100103,C1273,1990-04-28,Male,christine.wright@gmail.com,+92-314-8279693,"Islamabad, Capital Territory",2023-12-30,2025-01-06 08:38:09,P580,Electronics,42571.42,3,DISCOUNT5,Credit Card,Tablet,8,8,Notice exactly send where check source.
T100104,C1718,1976-06-16,Male,richard.henson@outlook.com,+92-323-3488634,"Islamabad, Capital Territory",2021-06-08,2025-09-14 02:47:39,P142,Toys,10082.91,2,,Cash,Tablet,2,8,
T100105,C1959,1967-10-22,Female,marc.moore@yahoo.com,+92-330-2571875,"Lahore, Punjab",2022-05-10,2025-03-05 23:06:30,P635,Clothing,26880.56,3,,Debit Card,Tablet,6,7,
T100106,C1699,1992-10-31,Female,sharon.cherry@hotmail.com,+92-331-4045291,"Faisalabad, Punjab",2021-12-30,2025-03-31 11:07:32,P729,Groceries,22309.69,4,FREESHIP,Cash,Tablet,6,8,Position win just experience letter could also.
T100107,C1663,1999-11-03,Female,sierra.johnson@outlook.com,+92-329-4104255,"Multan, Punjab",2023-05-27,2025-07-13 00:35:25,P115,Books,16350.11,2,NEW10,Debit Card,Mobile,7,5,
T100108,C1073,1997-06-15,Male,evelyn.galvan@hotmail.com,+92-311-4168543,"Multan, Punjab",2024-03-12,2025-02-03 22:55:10,P476,Sports,37552.59,5,DISCOUNT5,Credit Card,Tablet,7,7,Success around direction soldier strong water clear.
T100109,C1623,1957-04-10,Female,sharon.cochran@gmail.com,+92-336-9229532,"Sialkot, Punjab",2022-02-13,2025-06-22 12:08:40,P891,Sports,40992.95,2,NEW10,Cash,Tablet,2,10,Participant exactly hospital Congress seem role senior serve current card yes.
T100110,C1650,1998-01-10,Male,richard.rodriguez@gmail.com,+92-346-4026721,"Rawalpindi, Punjab",2021-10-16,2025-07-16 04:47:13,P675,Home Decor,38866.93,5,,Bank Transfer,Tablet,7,6,Soldier act administration form of blue daughter act against culture impact.
T100111,C1175,1997-07-15,Male,shannon.walker@outlook.com,+92-341-5731917,"Quetta, Balochistan",2022-07-11,2025-10-13 22:29:38,P878,Clothing,30166.68,3,,Debit Card,Mobile,7,9,Attack realize prove into.
T100112,C1546,1955-05-24,Male,julia.torres@hotmail.com,+92-301-6203625,"Peshawar, Khyber Pakhtunkhwa",2023-07-30,2025-02-04 22:22:19,P299,Groceries,37234.0,1,,Bank Transfer,Mobile,9,9,Half staff join interview simply participant girl sport eat security community politics.
